Time,uberPOOL,uberGO,uberX
9:28,129.53,258.45,278.25
10:00,119.53,243.64,262.38
10:31,109.53,218.39,235.79
10:59,79.53,167.81,181.82
11:33,99.53,175.36,191.15
11:59,99.53,175.02,191.3
12:34,109.53,167.95,182.75
13:02,109.53,164.75,179.41
13:30,109.53,161.62,177.06
14:00,99.53,154.65,170.45
14:31,109.53,160.5,177.08
15:01,109.53,158.6,174.16
15:31,109.53,164.69,180.44
17:00,99.53,175.28,188.7
17:32,99.53,179.84,192.87
17:56,99.53,187.22,199.31
18:29,99.53,202.14,211.35
19:00,99.53,206.86,216.65
19:43,99.53,193.79,204.21
20:17,139.53,230.99,252
20:30,99.53,171.01,186.74
